Wall time,Step,Value
1773219212.4580522,5000,-65.56624603271484
1773219224.2252898,10000,-66.438720703125
1773219235.8928306,15000,-63.811519622802734
1773219247.6511924,20000,-68.42724609375
1773219344.7604475,25000,-50.44231033325195
1773219356.0532703,30000,-46.11728286743164
1773219367.443031,35000,-40.94921875
1773219378.8542228,40000,-48.51457214355469
1773219475.5491588,45000,-29.072858810424805
1773219488.3867543,50000,-18.595277786254883
1773219500.7105489,55000,-25.24091911315918
1773219512.037533,60000,-33.654991149902344
1773219609.9644804,65000,-18.27438735961914
1773219621.5636766,70000,-7.322065353393555
1773219633.3846025,75000,1.611082673072815
1773219644.761474,80000,-15.261634826660156
1773219741.3732345,85000,3.1746695041656494
1773219752.8289652,90000,3.2207846641540527
1773219764.1391063,95000,12.440823554992676
1773219775.5548868,100000,10.713247299194336
1773219873.1164415,105000,-5.204778671264648
1773219884.3164847,110000,6.751736164093018
1773219895.4236834,115000,14.220446586608887
1773219907.155383,120000,-4.517422199249268
1773220004.1791708,125000,9.70111083984375
1773220015.4130654,130000,12.550148963928223
1773220026.6728983,135000,5.0487542152404785
1773220038.0756357,140000,6.133565902709961
1773220134.7287004,145000,9.663984298706055
1773220145.8893473,150000,5.800351619720459
1773220157.2187922,155000,5.899293899536133
1773220168.5518737,160000,5.537201404571533
1773220265.128057,165000,18.72962760925293
1773220276.4325018,170000,19.052410125732422
1773220287.9520707,175000,10.6873197555542
1773220299.460468,180000,8.799610137939453
1773220395.8562608,185000,7.046460151672363
1773220407.0155933,190000,4.7584123611450195
1773220418.5324001,195000,9.016239166259766
1773220430.1700048,200000,3.4214298725128174
1773220527.2914846,205000,9.827919960021973
1773220538.772383,210000,9.956659317016602
1773220550.134121,215000,6.015553951263428
1773220561.850521,220000,7.04669713973999
1773220573.3523366,225000,4.347790718078613
1773220670.0423274,230000,13.988384246826172
1773220681.2739475,235000,18.633066177368164
1773220692.6288168,240000,10.875493049621582
1773220704.1958995,245000,16.431354522705078
1773220801.8827295,250000,14.257904052734375
1773220814.8843133,255000,17.4107666015625
1773220826.3134677,260000,30.84525489807129
1773220838.3175228,265000,8.134411811828613
1773220936.0002398,270000,22.4305477142334
1773220947.1271994,275000,10.780084609985352
1773220958.6668334,280000,9.118612289428711
1773220969.8823059,285000,19.643733978271484
1773221067.3552957,290000,27.793760299682617
1773221078.5948148,295000,14.225265502929688
1773221089.7168093,300000,21.147275924682617
1773221101.0947971,305000,18.89178466796875
1773221198.0949023,310000,29.968799591064453
1773221209.2629504,315000,28.94927978515625
1773221220.5431368,320000,26.33808135986328
1773221231.5563061,325000,30.930213928222656
1773221328.9931886,330000,20.693523406982422
1773221340.0697203,335000,32.79159927368164
1773221351.2916753,340000,39.223175048828125
1773221362.398428,345000,42.13554000854492
1773221459.5185003,350000,41.137813568115234
1773221470.699923,355000,47.80369186401367
1773221483.176614,360000,46.68181228637695
1773221494.6703076,365000,48.789615631103516
1773221591.9298198,370000,55.36650848388672
1773221603.2401948,375000,55.358001708984375
1773221614.7172973,380000,61.9233512878418
1773221625.9310336,385000,57.235008239746094
1773221723.1785743,390000,57.237548828125
1773221734.570887,395000,64.7900390625
1773221745.777346,400000,64.77041625976562
1773221758.472697,405000,64.68331909179688
1773221856.9683614,410000,61.87708282470703
1773221868.7640374,415000,66.61186218261719
1773221880.3929164,420000,69.3572769165039
1773221892.2528284,425000,68.3204574584961
1773221903.435503,430000,69.32547760009766
1773222003.292198,435000,70.528564453125
1773222015.4955683,440000,71.36740112304688
1773222028.0846434,445000,69.56537628173828
1773222039.6345139,450000,70.54464721679688
1773222140.5302935,455000,70.6556625366211
1773222152.461005,460000,69.78663635253906
1773222164.7297168,465000,70.69232940673828
1773222177.0258944,470000,71.61503601074219
1773222277.7507071,475000,71.71590423583984
1773222290.584575,480000,70.85135650634766
