Wall time,Step,Value
1773222382.069895,5000,0.028301887214183807
1773222394.3414176,10000,0.07070706784725189
1773222406.8999307,15000,0.046296294778585434
1773222419.7437913,20000,0.01886792480945587
1773222578.6645591,25000,0.13008129596710205
1773222590.9023564,30000,0.15199999511241913
1773222603.2840974,35000,0.12598425149917603
1773222615.3803978,40000,0.11999999731779099
1773222774.0515192,45000,0.20000000298023224
1773222788.1201832,50000,0.28358209133148193
1773222802.662267,55000,0.20895522832870483
1773222815.1332114,60000,0.27819550037384033
1773222973.2718453,65000,0.3461538553237915
1773222985.191463,70000,0.42424243688583374
1773222997.6145782,75000,0.3863636255264282
1773223009.6326976,80000,0.3458646535873413
1773223167.9624796,85000,0.40909090638160706
1773223180.1241653,90000,0.4135338366031647
1773223191.9717898,95000,0.36153846979141235
1773223204.174211,100000,0.49624061584472656
1773223365.187769,105000,0.43609023094177246
1773223377.2294593,110000,0.4318181872367859
1773223389.212501,115000,0.47727271914482117
1773223401.1811986,120000,0.5267175436019897
1773223564.041004,125000,0.43939393758773804
1773223576.061217,130000,0.5074626803398132
1773223588.0259533,135000,0.4076923131942749
1773223600.3015513,140000,0.5263158082962036
1773223762.7861204,145000,0.4469696879386902
1773223774.9736276,150000,0.5338345766067505
1773223787.2060947,155000,0.45864662528038025
1773223799.2412515,160000,0.4776119291782379
1773223956.9786334,165000,0.5151515007019043
1773223968.8204002,170000,0.46212121844291687
1773223980.8784196,175000,0.46268656849861145
1773223993.0177972,180000,0.447761207818985
1773224151.5067792,185000,0.4436090290546417
1773224164.6104145,190000,0.47328245639801025
1773224176.501615,195000,0.4656488597393036
1773224188.506033,200000,0.5149253606796265
1773224200.9855971,205000,0.5328466892242432
1773224359.4019508,210000,0.4656488597393036
1773224371.3444593,215000,0.442748099565506
1773224383.56148,220000,0.48120301961898804
1773224396.177793,225000,0.4769230782985687
1773224555.1438367,230000,0.42748090624809265
1773224567.4206982,235000,0.47328245639801025
1773224579.5296848,240000,0.5149253606796265
1773224591.6702995,245000,0.5343511700630188
1773224750.2605472,250000,0.5303030014038086
1773224762.442661,255000,0.5939849615097046
1773224774.9399114,260000,0.5833333134651184
1773224786.9260442,265000,0.4580152630805969
1773224945.0294995,270000,0.5343511700630188
1773224957.0731752,275000,0.5939849615097046
1773224969.0563667,280000,0.5227272510528564
1773224981.3816726,285000,0.49635037779808044
1773225141.3281212,290000,0.61654132604599
1773225153.4987626,295000,0.6590909361839294
1773225165.5938542,300000,0.6060606241226196
1773225177.7649682,305000,0.7348484992980957
1773225336.2113435,310000,0.6969696879386902
1773225348.3961349,315000,0.7426470518112183
1773225360.305939,320000,0.7272727489471436
1773225372.4643328,325000,0.7894737124443054
1773225530.9600086,330000,0.7819548845291138
1773225542.9245582,335000,0.8872180581092834
1773225555.0604055,340000,0.845588207244873
1773225567.2395136,345000,0.8823529481887817
1773225725.529842,350000,0.8222222328186035
1773225737.5956187,355000,0.8872180581092834
1773225749.6525922,360000,0.9104477763175964
1773225761.9047723,365000,0.9248120188713074
1773225920.3403068,370000,0.9259259104728699
1773225932.4788635,375000,0.9477611780166626
1773225944.5025373,380000,0.9248120188713074
1773225956.6859999,385000,0.9558823704719543
1773226114.881877,390000,0.9848484992980957
1773226126.8749132,395000,0.9850746393203735
1773226138.9515548,400000,0.9850746393203735
1773226151.124768,405000,0.9850746393203735
1773226309.4189343,410000,0.9774436354637146
1773226321.3804781,415000,0.9925373196601868
1773226334.079499,420000,0.9924812316894531
1773226346.1274068,425000,0.9925373196601868
1773226360.7023225,430000,0.970370352268219
1773226532.744596,435000,0.9924812316894531
1773226545.6382284,440000,0.9925373196601868
1773226559.183153,445000,1.0
1773226571.8418272,450000,0.9849624037742615
